Theater Name,Film Title,Format,Showtime,Daypart,Ticket Type,Price,Capacity,Previous Price,Price_Change
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,11:00a,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,11:00a,Unknown,Matinee DBOX,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,11:00a,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,1:20p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,1:20p,Unknown,Matinee DBOX,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,1:20p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,4:00p,Unknown,General Admission DBOX,$20.57,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,4:00p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,4:00p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,6:20p,Unknown,General Admission DBOX,$20.57,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,6:20p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,6:20p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,8:40p,Unknown,General Admission DBOX,$20.57,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,8:40p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,8:40p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,11:00p,Unknown,General Admission DBOX,$20.57,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,11:00p,Unknown,Child,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,11:00p,Unknown,Senior,$17.05,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,2:00p,Unknown,Child (XD),$19.49,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,2:00p,Unknown,XD DBOX Matinee,$19.49,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Nobody 2 (2025),2D,2:00p,Unknown,Senior (XD),$19.49,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Teenage Mutant Ninja Turtles 35th Anniversary,2D,12:05p,Unknown,Fathom $12.50,$13.53,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Teenage Mutant Ninja Turtles 35th Anniversary,2D,1:00p,Unknown,Fathom $12.50,$13.53,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Teenage Mutant Ninja Turtles 35th Anniversary,2D,7:00p,Unknown,Fathom $12.50,$13.53,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Teenage Mutant Ninja Turtles 35th Anniversary,2D,7:15p,Unknown,Fathom $12.50,$13.53,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Shin Godzilla 4K (2025),2D,10:30a,Unknown,Child,$8.39,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Shin Godzilla 4K (2025),2D,10:30a,Unknown,Matinee,$8.39,N/A,N/A,N/A
Cinemark Rave Ridgmar 13 and XD,Shin Godzilla 4K (2025),2D,10:30a,Unknown,Senior,$8.39,N/A,N/A,N/A
